College,Type,Total Seats,AIQ Seats,State Seats,AIQ UR,State UR,AIQ EWS,State EWS,AIQ OBC,State OBC,AIQ SC,State SC,AIQ ST,State ST
"King George's Medical University, Lucknow",Govt,250,38,212,500-1100,800-1700,1200-1900,1700-2700,1400-2200,2000-3200,5500-9500,12500-20500,10500-18500,22500-38500
"Institute of Medical Sciences, BHU, Varanasi",Govt,100,15,85,750-1350,1050-1950,1450-2150,1950-2950,1650-2450,2250-3450,5750-9750,12750-20750,10750-18750,22750-38750
"Dr. Ram Manohar Lohia Institute, Lucknow",Govt,200,30,170,1000-1600,1300-2200,1700-2400,2200-3200,1900-2700,2500-3700,6000-10000,13000-21000,11000-19000,23000-39000
"GSVM Medical College, Kanpur",Govt,250,38,212,1250-1850,1550-2450,1950-2650,2450-3450,2150-2950,2750-3950,6250-10250,13250-21250,11250-19250,23250-39250
"Motilal Nehru Medical College, Prayagraj",Govt,250,38,212,1500-2100,1800-2700,2200-2900,2700-3700,2400-3200,3000-4200,6500-10500,13500-21500,11500-19500,23500-39500
"LLRM Medical College, Meerut",Govt,200,30,170,1750-2350,2050-2950,2450-3150,2950-3950,2650-3450,3250-4450,6750-10750,13750-21750,11750-19750,23750-39750
"MLB Medical College, Jhansi",Govt,200,30,170,2000-2600,2300-3200,2700-3400,3200-4200,2900-3700,3500-4700,7000-11000,14000-22000,12000-20000,24000-40000
"BRD Medical College, Gorakhpur",Govt,200,30,170,2250-2850,2550-3450,2950-3650,3450-4450,3150-3950,3750-4950,7250-11250,14250-22250,12250-20250,24250-40250
"UPUMS, Saifai",Govt,200,30,170,2500-3100,2800-3700,3200-3900,3700-4700,3400-4200,4000-5200,7500-11500,14500-22500,12500-20500,24500-40500
"Government Institute of Medical Sciences, Greater Noida",Govt,100,15,85,2750-3350,3050-3950,3450-4150,3950-4950,3650-4450,4250-5450,7750-11750,14750-22750,12750-20750,24750-40750
"Government Medical College, Ambedkar Nagar",Govt,100,15,85,3000-3600,3300-4200,3700-4400,4200-5200,3900-4700,4500-5700,8000-12000,15000-23000,13000-21000,25000-41000
"Government Medical College, Azamgarh",Govt,100,15,85,3250-3850,3550-4450,3950-4650,4450-5450,4150-4950,4750-5950,8250-12250,15250-23250,13250-21250,25250-41250
"Government Medical College, Badaun",Govt,100,15,85,3500-4100,3800-4700,4200-4900,4700-5700,4400-5200,5000-6200,8500-12500,15500-23500,13500-21500,25500-41500
"Government Medical College, Banda",Govt,100,15,85,3750-4350,4050-4950,4450-5150,4950-5950,4650-5450,5250-6450,8750-12750,15750-23750,13750-21750,25750-41750
"Government Medical College, Jalaun",Govt,100,15,85,4000-4600,4300-5200,4700-5400,5200-6200,4900-5700,5500-6700,9000-13000,16000-24000,14000-22000,26000-42000
"Government Medical College, Kannauj",Govt,100,15,85,4250-4850,4550-5450,4950-5650,5450-6450,5150-5950,5750-6950,9250-13250,16250-24250,14250-22250,26250-42250
"Government Medical College, Saharanpur",Govt,100,15,85,4500-5100,4800-5700,5200-5900,5700-6700,5400-6200,6000-7200,9500-13500,16500-24500,14500-22500,26500-42500
"Sarojini Naidu Medical College, Agra",Govt,200,30,170,4750-5350,5050-5950,5450-6150,5950-6950,5650-6450,6250-7450,9750-13750,16750-24750,14750-22750,26750-42750
"Autonomous Medical College, Ayodhya",Govt,100,15,85,5000-5600,5300-6200,5700-6400,6200-7200,5900-6700,6500-7700,10000-14000,17000-25000,15000-23000,27000-43000
"Autonomous Medical College, Bahraich",Govt,100,15,85,5250-5850,5550-6450,5950-6650,6450-7450,6150-6950,6750-7950,10250-14250,17250-25250,15250-23250,27250-43250
"Autonomous Medical College, Basti",Govt,100,15,85,5500-6100,5800-6700,6200-6900,6700-7700,6400-7200,7000-8200,10500-14500,17500-25500,15500-23500,27500-43500
"Autonomous Medical College, Deoria",Govt,100,15,85,5750-6350,6050-6950,6450-7150,6950-7950,6650-7450,7250-8450,10750-14750,17750-25750,15750-23750,27750-43750
"Autonomous Medical College, Fatehpur",Govt,100,15,85,6000-6600,6300-7200,6700-7400,7200-8200,6900-7700,7500-8700,11000-15000,18000-26000,16000-24000,28000-44000
"Autonomous Medical College, Firozabad",Govt,100,15,85,6250-6850,6550-7450,6950-7650,7450-8450,7150-7950,7750-8950,11250-15250,18250-26250,16250-24250,28250-44250
"Autonomous Medical College, Hardoi",Govt,100,15,85,6500-7100,6800-7700,7200-7900,7700-8700,7400-8200,8000-9200,11500-15500,18500-26500,16500-24500,28500-44500
"Autonomous Medical College, Jaunpur",Govt,100,15,85,6750-7350,7050-7950,7450-8150,7950-8950,7650-8450,8250-9450,11750-15750,18750-26750,16750-24750,28750-44750
