Institute,Academic Program Name,Quota,Seat Type,Gender,Opening Rank,Closing Rank,Round,Year
Indian Institute of Technology Bombay,Computer Science and Engineering (4 Years),AI,OPEN,Gender-Neutral,1,67,6,2024
Indian Institute of Technology Bombay,Computer Science and Engineering (4 Years),AI,OPEN,Female-only,4,124,6,2024
Indian Institute of Technology Delhi,Computer Science and Engineering (4 Years),AI,OPEN,Gender-Neutral,68,116,6,2024
Indian Institute of Technology Madras,Computer Science and Engineering (4 Years),AI,OPEN,Gender-Neutral,118,159,6,2024
Indian Institute of Technology Kanpur,Computer Science and Engineering (4 Years),AI,OPEN,Gender-Neutral,160,238,6,2024
Indian Institute of Technology Kharagpur,Computer Science and Engineering (4 Years),AI,OPEN,Gender-Neutral,239,279,6,2024
Indian Institute of Technology Roorkee,Computer Science and Engineering (4 Years),AI,OPEN,Gender-Neutral,280,369,6,2024
Indian Institute of Technology Bombay,Electrical Engineering (4 Years),AI,OPEN,Gender-Neutral,150,272,6,2024
Indian Institute of Technology Bombay,Mechanical Engineering (4 Years),AI,OPEN,Gender-Neutral,800,1450,6,2024
Indian Institute of Technology Delhi,Computer Science and Engineering (4 Years),AI,OBC-NCL,Gender-Neutral,40,68,6,2024
Indian Institute of Technology Delhi,Computer Science and Engineering (4 Years),AI,SC,Gender-Neutral,12,28,6,2024
National Institute of Technology Tiruchirappalli,Computer Science and Engineering,HS,OPEN,Gender-Neutral,1100,2800,6,2024
National Institute of Technology Karnataka Surathkal,Computer Science and Engineering,OS,OPEN,Gender-Neutral,900,2400,6,2024
